2019年10月04日 08:24,颜色:E：船青+PT黑+树黑+花白+熊灰尺码:2XL,2件纯3件非棉
2019年09月28日 12:31,颜色:E：船青+PT黑+树黑+花白+熊灰尺码:2XL,质量不错的，穿着很舒服。
2019年09月28日 14:19,颜色:H：熊黑+花灰+SP灰+PT白+船黑尺码:XL,穿着挺舒服的，面料也挺厚实的，很不错！
2019年09月26日 10:42,颜色:F：PT白+树白+SP白+锚灰+熊黑尺码:XL,质量很好，发货快，服务细心包装专业值了
2019年09月17日 18:43,颜色:B：船黑+树黑+SP黑+熊黑+PT黑尺码:2XL,收到了，质量挺好的👌，下次会还来&hellip;
2019年09月27日 19:48,颜色:V：熊灰树灰+SP白+PT白+船黑尺码:L,物流比较快，服务特别好，宝贝也非常的合身，物美价廉，值得购买。
2019年10月06日 12:26,颜色:V：熊灰树灰+SP白+PT白+船黑尺码:L,服务态度蛮好
2019年09月26日 16:27,颜色:X：PT黑+船青+树青+熊黑+花灰尺码:XL,秋衣t恤质量很好，是新款的，而且是我非常喜欢的款式，面料很柔软，穿上很合适，价格优惠比实体店便宜多了。
2019年09月24日 17:08,颜色:F：PT白+树白+SP白+锚灰+熊黑尺码:2XL,好优惠，几十块钱好几件，简直了。关键是质量好很好，现在天气穿刚刚好，冬天也可以打底，料子很舒服
2019年09月20日 07:07,颜色:Y：船白+树白+ SP青+PT灰+熊黑尺码:L,面料手感不错，厚薄适中尺码标准上身效果很好颜色好看没有异味没有色差，大小很合适
,颜色:Z：PT黑+SP青+花白+船白+熊白尺码:XL,15天内买家未作出评价
2019年09月21日 19:35,颜色:F：PT白+树白+SP白+锚灰+熊黑尺码:XL,衣服收到几天才来评价的，颜色都很满意，花型也不错，主要是质量很好，摸起来很舒服的，大小也正合适
2019年09月24日 07:56,颜色:C：船灰+树灰+熊灰+花灰+PT灰尺码:XL,面料品质：手感舒服 厚薄度：正是穿的季节 上身效果：穿起来挺合身的 
2019年09月20日 10:50,颜色:V：熊灰树灰+SP白+PT白+船黑尺码:4XL,T恤质量很好，价格实惠颜色喜欢穿上合身
2019年09月23日 11:14,颜色:B：船黑+树黑+SP黑+熊黑+PT黑尺码:XL,衣服质量不错 版型好看 上身效果确实不错 舒服 百搭款 价格比实体店便宜 推荐大家购买
2019年09月18日 07:37,颜色:E：船青+PT黑+树黑+花白+熊灰尺码:XL,老公穿着帅帅的，面料也是棉棉的，很软，超级喜欢，
2019年10月01日 00:24,颜色:H：熊黑+花灰+SP灰+PT白+船黑尺码:XL,衣服质量很好
2019年09月24日 17:08,颜色:B：船黑+树黑+SP黑+熊黑+PT黑尺码:5XL,"衣服质量很好，价格合适,颜色很正，没有多余线头，很喜欢。"
2019年10月05日 18:30,颜色:A：船白+树白+PT白+熊白+花白尺码:L,质量非常好的
2019年09月30日 16:20,颜色:P：熊灰+树黑+SP白+PT黑+花白尺码:XL,质量很好！穿上很舒服也好看
2019年09月26日 10:24,颜色:A：船白+树白+PT白+熊白+花白尺码:3XL,面料品质：好 厚薄度：合适 尺码推荐：刚好 上身效果：不错 
2019年09月20日 22:05,颜色:G：PT黑+树灰+船灰+熊青+花白尺码:3XL,衣服收到了，打开没有异味，颜色没有色差，码数很标准，上身很好看，有型高端大气，上档次！
2019年09月21日 21:54,颜色:Q：花灰+树灰+PT白+船黑+熊青尺码:L,衣服面料舒服，手感很好。没有色差，便宜的价格买到称心的衣服，真是超值的一次购物
2019年09月25日 15:06,颜色:B：船黑+树黑+SP黑+熊黑+PT黑尺码:2XL,质量特别好，码大小合适，穿着好看，价格便宜，给五星!
2019年09月24日 17:23,颜色:P：熊灰+树黑+SP白+PT黑+花白尺码:XL,体恤收到质量不错，超划算一天一件不重样的穿天天穿新衣性价比高纯棉面料舒服好评
2019年09月08日 16:33,颜色:B：船黑+树黑+SP黑+熊黑+PT黑尺码:3XL,衣服质量很好，手感很舒服，已经是第二次回购啦，真的是很不错的一款衣服，我是买来老公上班穿的，穿着玩也是完全ok的，很好，推荐购买
2019年09月22日 19:22,颜色:A：船白+树白+PT白+熊白+花白尺码:L,面料很好，又便宜实惠，上身效果不错，超喜欢
2019年09月21日 11:13,颜色:H：熊黑+花灰+SP灰+PT白+船黑尺码:XL,衣服收到了，上身效果不错，穿起也很舒服，最重要的是不会掉毛
2019年09月21日 21:34,颜色:Q：花灰+树灰+PT白+船黑+熊青尺码:3XL,衣服面料柔软透气性不错。穿上很合身，很满意。
