2019年09月15日 20:07,颜色分类:满天星尺码:42（男）,感觉大了一点但是我还是喜欢  快递很快也很负责任喜欢的人可以入手哦
2019年09月01日 16:45,颜色分类:兵马俑珊瑚橙尺码:39（女）,收到后就迫不及待的穿上去旅游了，比预期的效果要好很多，走了2天也不累脚，鞋底特别舒适、拍照也很好看，放心购买吧！
2019年09月17日 14:17,颜色分类:黑色满天星尺码:41（男）,鞋子很满意，买的第二双了
2019年09月18日 14:25,颜色分类:满天星尺码:43（男）,风格：可以吧  挺喜欢的 
2019年07月29日 14:44,颜色分类:满天星尺码:37（女）,鞋子很棒和老公一人双，我是白天使，他是黑天使，鞋子好舒服，棒棒的
2019年07月29日 14:47,颜色分类:黑色满天星尺码:43（男）,鞋子很棒和老公一人双，我是白天使，他是黑天使，鞋子好舒服，棒棒的
2019年08月31日 17:35,颜色分类:满天星尺码:44（男）,鞋头款式：好看 鞋面材质：透气 鞋底材质：软弹 风格：帅气 
2019年09月14日 16:17,颜色分类:满天星尺码:36（女）,非常不错的颜色
2019年09月08日 00:25,颜色分类:海盐亚洲限定尺码:43（男）,前段时间一直在外地忘记收货了，补发一下，鞋子真的超级赞，非常不错的材质太划算了，上脚非常舒服大赞
2019年08月28日 08:58,颜色分类:兵马俑珊瑚橙尺码:38（女）,来她家买鞋已经n次了，每次穿出去都有朋友夸，哈哈开心，做工真的很好，喜欢一直关注这家冬天的雪地棉 鞋都是在这买的。夏天的运动鞋也选这家比别家的穿着舒服多了！鞋头好看，真皮的。 
2019年08月24日 22:54,颜色分类:黑色满天星尺码:39（女）,第二次购买，入秋了买一双黑色的搭衣服。就是因为穿着巨舒服才买的第二双！
2019年09月17日 14:58,颜色分类:灰橙欧洲限定尺码:38（女）,第三双，一如既往满意！
2019年08月31日 09:13,颜色分类:纯白冰激凌尺码:36（女）,穿上很舒服，鞋底很软，喜欢的朋友可以入手了。
2019年09月05日 15:46,颜色分类:满天星尺码:41（男）,鞋头款式：可以， 鞋底材质：柔软 风格：很好 
2019年08月28日 15:28,颜色分类:兵马俑珊瑚橙尺码:40（男）,风格：爱辽爱辽，特别舒适轻巧 
2019年09月08日 10:41,颜色分类:黑色满天星尺码:41（男）,非常舒服
2019年08月22日 08:44,颜色分类:满天星尺码:36（女）,鞋子收到了 ，特别喜欢 ，穿起来好好看 买了两双跟男朋友一起穿 
2019年08月31日 11:21,颜色分类:纯白冰激凌尺码:38（女）,鞋子穿上脚很舒服，轻便，但是显脚大，鞋头穿脏了😂
2019年09月22日 00:52,颜色分类:海盐亚洲限定尺码:43（男）,说实话very垃圾，就当我买了个虚荣心吧，退货麻烦的很，也不是特别舒服，估计再穿个一两个月就该坏了，等我回复吧，不建议买说实话，
2019年09月05日 15:38,颜色分类:满天星尺码:38（女）,非常喜欢老田家的鞋子 第二次购买了 之前买过一双雪地靴 非常喜欢 虽然说是定制 但是我觉得的很对的起她的质量 我觉得跟正品质量一样了 非常对得起价格 我非常喜欢他们家的鞋子的品质了
2019年08月22日 15:59,颜色分类:满天星尺码:38（女）,鞋子收到了，是我的尺寸没有偏差，喜欢平跟鞋，跑步好穿的很
2019年08月31日 11:14,颜色分类:天使尺码:37（女）,鞋子质量不错，有传说中的踩屎感，哈哈哈，穿的很舒服
2019年08月22日 17:01,颜色分类:海盐亚洲限定尺码:41（男）,脚感舒服，很轻很轻，底有点宽，感觉不错👍
2019年08月28日 17:39,颜色分类:满天星尺码:37（女）,鞋子很好。质量很棒。主要穿的很舒服
